Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
9,"S Wang, J Liu, S Song, J Cheng, Y Fu, P Guo…","Domainrag: A chinese benchmark for evaluating domain-specific retrieval-augmented generation",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2406.05654","https://scholar.google.com/scholar?cites=3008938602613723044&as_sdt=2005&sciodt=2007&hl=en",11,"2025-03-20 13:23:25","","","","",,,,,9,9.00,1,7,1,"… To evaluate LLMs’ robustness to noisy information in provided references, we expanded upon the extractive QA dataset to create the noisy dataset. Concretely, for each piece of data, …","https://arxiv.org/pdf/2406.05654","https://scholar.google.com/scholar?q=related:pE_Aj7flwSkJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
69,"Y Tang, Y Yang","Multihop-rag: Benchmarking retrieval-augmented generation for multi-hop queries",2024,"arXiv preprint arXiv:2401.15391","arxiv.org","https://arxiv.org/abs/2401.15391","https://scholar.google.com/scholar?cites=17413151929125040209&as_sdt=2005&sciodt=2007&hl=en",12,"2025-03-20 13:23:25","","","","",,,,,69,69.00,35,2,1,"… benchmarking dataset focuses on multihop queries. In this paper, we develop a novel dataset… We detail the procedure of building the dataset, utilizing an English news article dataset as …","https://arxiv.org/pdf/2401.15391","https://scholar.google.com/scholar?q=related:UfBns2vxp_EJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
147,"K Zhou, Y Zhu, Z Chen, W Chen, WX Zhao…","Don't make your LLM an evaluation benchmark cheater",2023,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2311.01964","https://scholar.google.com/scholar?cites=16109234801565135792&as_sdt=2005&sciodt=2007&hl=en",13,"2025-03-20 13:23:25","","","","",,,,,147,73.50,25,6,2,"… that requires LLM to summarize the key information from long documents. For this task, we report the ROUGE-L metric, … For HumanEval, we adopt pass@10 as the evaluation metric. …","https://arxiv.org/pdf/2311.01964","https://scholar.google.com/scholar?q=related:sHOmnrN_j98J:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
137,"G Xiong, Q Jin, Z Lu, A Zhang","Benchmarking retrieval-augmented generation for medicine",2024,"Findings of the Association for …","aclanthology.org","https://aclanthology.org/2024.findings-acl.372/","https://scholar.google.com/scholar?cites=16457048703660556803&as_sdt=2005&sciodt=2007&hl=en",14,"2025-03-20 13:23:25","","","","",,,,,137,137.00,34,4,1,"… Here we use PubMed as the corpus, and take GPT-3.5 and RRF-4 as the LLM and retriever, respectively. For each dataset, we group the positions of ground-truth snippets into several …","https://aclanthology.org/2024.findings-acl.372.pdf","https://scholar.google.com/scholar?q=related:A4L9UJouY-QJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
154,"O Sainz, JA Campos, I García-Ferrero, J Etxaniz…","NLP evaluation in trouble: On the need to measure LLM data contamination for each benchmark",2023,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2310.18018","https://scholar.google.com/scholar?cites=1046512416079974488&as_sdt=2005&sciodt=2007&hl=en",15,"2025-03-20 13:23:25","","","","",,,,,154,77.00,31,5,2,"… Avoiding data contamination completely is not realistic, as it is impossible to know every dataset that the research community can test an LLM on. However, allowing the researchers to …","https://arxiv.org/pdf/2310.18018","https://scholar.google.com/scholar?q=related:WJB7bX_1hQ4J:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
142,"L Zheng, WL Chiang, Y Sheng, T Li, S Zhuang…","Lmsys-chat-1m: A large-scale real-world llm conversation dataset",2023,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2309.11998","https://scholar.google.com/scholar?cites=1730324882341676130&as_sdt=2005&sciodt=2007&hl=en",16,"2025-03-20 13:23:25","","","","",,,,,142,71.00,24,6,2,"… that this dataset will serve as a valuable resource for understanding and advancing LLM … The dataset is curated from a larger set of LLM-user interaction data we collected by hosting …","https://arxiv.org/pdf/2309.11998","https://scholar.google.com/scholar?q=related:YsT-FVBZAxgJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
69,"H Yu, A Gan, K Zhang, S Tong, Q Liu, Z Liu","Evaluation of retrieval-augmented generation: A survey",2024,"CCF Conference on Big Data","Springer","https://link.springer.com/chapter/10.1007/978-981-96-1024-2_8","https://scholar.google.com/scholar?cites=3204868390346020966&as_sdt=2005&sciodt=2007&hl=en",17,"2025-03-20 13:23:25","","10.1007/978-981-96-1024-2_8","","",,,,,69,69.00,12,6,1,"… which correlated to Target, Dataset, and Metric respectively. We aim to provide a clear and … The Dataset module facilitates the comparison of various data constructions in RAG …","https://arxiv.org/pdf/2405.07437","https://scholar.google.com/scholar?q=related:ZthzJtL6eSwJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
363,"J Ji, M Liu, J Dai, X Pan, C Zhang…","Beavertails: Towards improved safety alignment of llm via a human-preference dataset",2023,"Advances in …","proceedings.neurips.cc","https://proceedings.neurips.cc/paper_files/paper/2023/hash/4dbb61cb68671edc4ca3712d70083b9f-Abstract-Datasets_and_Benchmarks.html","https://scholar.google.com/scholar?cites=7559603210189078468&as_sdt=2005&sciodt=2007&hl=en",18,"2025-03-20 13:23:25","","","","",,,,,363,181.50,61,6,2,"… dataset, aimed at fostering research on safety alignment in large language models (LLMs). This dataset … We believe this dataset provides vital resources for the community, contributing …","https://proceedings.neurips.cc/paper_files/paper/2023/file/4dbb61cb68671edc4ca3712d70083b9f-Paper-Datasets_and_Benchmarks.pdf","https://scholar.google.com/scholar?q=related:xP84MhEb6WgJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
56,"L Sun, Y Han, Z Zhao, D Ma, Z Shen, B Chen…","Scieval: A multi-level large language model evaluation benchmark for scientific research",2024,"Proceedings of the …","ojs.aaai.org","https://ojs.aaai.org/index.php/AAAI/article/view/29872","https://scholar.google.com/scholar?cites=1937361590696333345&as_sdt=2005&sciodt=2007&hl=en",19,"2025-03-20 13:23:25","","","","",,,,,56,56.00,8,7,1,"… When obtaining the evaluation dataset, we will provide a regenerated version to users and we will update it regularly, while at the same time, we will maintain a stable version of the …","https://ojs.aaai.org/index.php/AAAI/article/view/29872/31521","https://scholar.google.com/scholar?q=related:IdDwJhrk4hoJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
220,"Y Zhuang, Y Yu, K Wang, H Sun…","Toolqa: A dataset for llm question answering with external tools",2023,"Advances in Neural …","proceedings.neurips.cc","https://proceedings.neurips.cc/paper_files/paper/2023/hash/9cb2a7495900f8b602cb10159246a016-Abstract-Datasets_and_Benchmarks.html","https://scholar.google.com/scholar?cites=2694605361330155618&as_sdt=2005&sciodt=2007&hl=en",20,"2025-03-20 13:23:25","","","","",,,,,220,110.00,44,5,2,"… To address this issue, we introduce a new dataset called ToolQA, which is … LLM generation approach that uses question templates to bridge human guidance and automatic LLM …","https://proceedings.neurips.cc/paper_files/paper/2023/file/9cb2a7495900f8b602cb10159246a016-Paper-Datasets_and_Benchmarks.pdf","https://scholar.google.com/scholar?q=related:YnDyq0wpZSUJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
216,"Y Wang, Z Yu, Z Zeng, L Yang, C Wang, H Chen…","Pandalm: An automatic evaluation benchmark for llm instruction tuning optimization",2023,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2306.05087","https://scholar.google.com/scholar?cites=13482765834651698548&as_sdt=2005&sciodt=2007&hl=en",21,"2025-03-20 13:23:25","","","","",,,,,216,108.00,31,7,2,"… a judge large language model, … test dataset, where all contexts are generated by humans and labels are aligned with human preferences. On evaluations using our collected test dataset…","https://arxiv.org/pdf/2306.05087","https://scholar.google.com/scholar?q=related:dAUwhBdoHLsJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
119,"Y Sui, M Zhou, M Zhou, S Han, D Zhang","Table meets llm: Can large language models understand structured table data? a benchmark and empirical study",2024,"Proceedings of the 17th ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3616855.3635752","https://scholar.google.com/scholar?cites=15308220695958897657&as_sdt=2005&sciodt=2007&hl=en",22,"2025-03-20 13:23:25","","10.1145/3616855.3635752","","",,,,,119,119.00,24,5,1,"… For the merged cell detection task, we only sample from ToTTo dataset since this is the only source paired with the merged cell. For each task setting, we randomly sample 1,500 tables …","https://dl.acm.org/doi/pdf/10.1145/3616855.3635752?trk=public_post_comment-text","https://scholar.google.com/scholar?q=related:-cPp1Z25cdQJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
74,"D Chen, R Chen, S Zhang, Y Wang, Y Liu…","Mllm-as-a-judge: Assessing multimodal llm-as-a-judge with vision-language benchmark",2024,"… on Machine Learning","openreview.net","https://openreview.net/forum?id=dbFEFHAD79","https://scholar.google.com/scholar?cites=6962079740663458368&as_sdt=2005&sciodt=2007&hl=en",23,"2025-03-20 13:23:25","","","","",,,,,74,74.00,12,6,1,"… Drawing inspiration from the concept of LLM-as-aJudge within LLMs, this paper introduces a … The code and dataset are publicly available at our project homepage: https://mllm-judge.…","https://openreview.net/pdf?id=dbFEFHAD79","https://scholar.google.com/scholar?q=related:QGowMKNGnmAJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
25,"M Andriushchenko, A Souly, M Dziemian…","Agentharm: A benchmark for measuring harmfulness of llm agents",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2410.09024","https://scholar.google.com/scholar?cites=2401564792328774425&as_sdt=2005&sciodt=2007&hl=en",24,"2025-03-20 13:23:25","","","","",,,,,25,25.00,6,4,1,"… of dataset contamination, we collect an entirely private set that has never been exposed to public LLM … LLMs on Azure, which does not share our inputs with the original LLM providers. …","https://arxiv.org/pdf/2410.09024","https://scholar.google.com/scholar?q=related:GWPXX3QSVCEJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
38,"QJ Hu, J Bieker, X Li, N Jiang, B Keigwin…","Routerbench: A benchmark for multi-llm routing system",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2403.12031","https://scholar.google.com/scholar?cites=5545370544983017876&as_sdt=2005&sciodt=2007&hl=en",25,"2025-03-20 13:23:25","","","","",,,,,38,38.00,6,6,1,"… of LLM routing systems, along with a comprehensive dataset comprising over 405k inference outcomes from representative LLMs to support the development of routing strategies. We …","https://arxiv.org/pdf/2403.12031","https://scholar.google.com/scholar?q=related:lImgSSEd9UwJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
8,"L Caspari, KG Dastidar, S Zerhoudi, J Mitrovic…","Beyond benchmarks: Evaluating embedding model similarity for retrieval augmented generation systems",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2407.08275","https://scholar.google.com/scholar?cites=1133554339397542606&as_sdt=2005&sciodt=2007&hl=en",26,"2025-03-20 13:23:25","","","","",,,,,8,8.00,2,5,1,"… that would be presented to an LLM can differ notably. Once again, we could also observe datasetdependent variance in scores, with lower retrieval similarity on larger datasets. …","https://arxiv.org/pdf/2407.08275","https://scholar.google.com/scholar?q=related:zqJkdaoxuw8J:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
763,"G Penedo, Q Malartic, D Hesslow, R Cojocaru…","The RefinedWeb dataset for Falcon LLM: outperforming curated corpora with web data, and web data only",2023,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2306.01116","https://scholar.google.com/scholar?cites=11817774409349721692&as_sdt=2005&sciodt=2007&hl=en",27,"2025-03-20 13:23:25","","","","",,,,,763,381.50,153,5,2,"Large language models are commonly trained on a mixture of filtered web data and curated high-quality corpora, such as social media conversations, books, or technical papers. This …","https://arxiv.org/pdf/2306.01116","https://scholar.google.com/scholar?q=related:XO79SDYrAaQJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
132,"G Penedo, Q Malartic, D Hesslow…","The refinedweb dataset for falcon llm: Outperforming curated corpora with web data only",2023,"Advances in …","proceedings.neurips.cc","https://proceedings.neurips.cc/paper_files/paper/2023/hash/fa3ed726cc5073b9c31e3e49a807789c-Abstract-Datasets_and_Benchmarks.html?utm_source=www.aiminds.com&utm_medium=referral&utm_campaign=benchmark-cheating-mamba-outperforms-transformers-and-better-bayesian-neural-nets-ai-under-the-hood","https://scholar.google.com/scholar?cites=6580304766386941221&as_sdt=2005&sciodt=2007&hl=en",28,"2025-03-20 13:23:25","","","","",,,,,132,66.00,33,4,2,"Large language models are commonly trained on a mixture of filtered web data and curated``high-quality''corpora, such as social media conversations, books, or technical papers. This …","https://proceedings.neurips.cc/paper_files/paper/2023/file/fa3ed726cc5073b9c31e3e49a807789c-Paper-Datasets_and_Benchmarks.pdf","https://scholar.google.com/scholar?q=related:Ja1NMlLwUVsJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
83,"A Salemi, H Zamani","Evaluating retrieval quality in retrieval-augmented generation",2024,"Proceedings of the 47th International ACM SIGIR …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3626772.3657957","https://scholar.google.com/scholar?cites=8558782959458313774&as_sdt=2005&sciodt=2007&hl=en",29,"2025-03-20 13:23:25","","10.1145/3626772.3657957","","",,,,,83,83.00,42,2,1,"… generated by a retrieval model R, an evaluation metric ER assigns a score ER (R𝑘, G𝑞)∈[0… Various definitions exist for the evaluation metric ER; in this paper, we examine Precision (P)…","https://dl.acm.org/doi/pdf/10.1145/3626772.3657957","https://scholar.google.com/scholar?q=related:LuYtWMHnxnYJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
8,"H Pouransari, CL Li, JH Chang…","Dataset decomposition: Faster llm training with variable sequence length curriculum",2024,"Advances in …","proceedings.neurips.cc","https://proceedings.neurips.cc/paper_files/paper/2024/hash/3f9bf45ea04c98ad7cb857f951f499e2-Abstract-Conference.html","https://scholar.google.com/scholar?cites=10077151726220830837&as_sdt=2005&sciodt=2007&hl=en",30,"2025-03-20 13:23:25","","","","",,,,,8,8.00,2,4,1,"… Using a single bucket Di as the dataset, we train an LLM from scratch on sequences with length 2i for a total of 234 seen tokens. Note that the number of tokens per optimization step is …","https://proceedings.neurips.cc/paper_files/paper/2024/file/3f9bf45ea04c98ad7cb857f951f499e2-Paper-Conference.pdf","https://scholar.google.com/scholar?q=related:dWgbnRo82YsJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
89,"J Wang, Y Wang, G Xu, J Zhang, Y Gu, H Jia, M Yan…","An llm-free multi-dimensional benchmark for mllms hallucination evaluation",2023,"CoRR","openreview.net","https://openreview.net/forum?id=2vI4ypmlVp","https://scholar.google.com/scholar?cites=14513959593292605757&as_sdt=2005&sciodt=2007&hl=en",31,"2025-03-20 13:23:25","","","","",,,,,89,44.50,11,8,2,"… In this paper, we propose an LLM-free multi-dimensional benchmark AMBER, which can be used to evaluate both generative task and discriminative task including existence, attribute …","","https://scholar.google.com/scholar?q=related:PSmUElrxa8kJ:scholar.google.com/&scioq=%22retrieval+augmented+generation%22%7C%22rag*%22%7C%22llm%22%7C%22large+language+model%22+%22benchmark*%22%7C%22eval*%22%7Cdataset%7Cmetric&hl=en&as_sdt=2007&as_ylo=2022"
