,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
18,93,"J Von der Mosel, A Trautsch…",On the validity of pre-trained transformers for natural language processing in the software engineering domain,2022,… on Software Engineering,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9785808/,https://scholar.google.com/scholar?cites=17406017280874427611&as_sdt=2005&sciodt=2007&hl=en,20,2025-04-10 10:45:08,,,,,,,,,93,31.0,31,3,3,… BERT transformer models trained with software engineering … evaluation of transformer models within the SE domain that … benchmarks using a limited amounts of data for classification. …,https://arxiv.org/pdf/2109.04738,https://scholar.google.com/scholar?q=related:27TU9H6YjvEJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
19,15,"T Ahmed, P Devanbu, C Treude, M Pradel",Can LLMs replace manual annotation of software engineering artifacts?,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2408.05534,https://scholar.google.com/scholar?cites=5832374868952542957&as_sdt=2005&sciodt=2007&hl=en,21,2025-04-10 10:45:08,,,,,,,,,15,15.0,4,4,1,"… LLM prompting can subsitute for human annotation labour, for artifact annotation tasks in SE. … We envision our work to serve as such a benchmark in software engineering. To the best of …",https://arxiv.org/pdf/2408.05534,https://scholar.google.com/scholar?q=related:7e7UxArC8FAJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
20,57,"J Shin, C Tang, T Mohati, M Nayebi, S Wang…",Prompt engineering or fine tuning: An empirical assessment of large language models in automated software engineering tasks,2023,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2310.10508,https://scholar.google.com/scholar?cites=8311237308827647193&as_sdt=2005&sciodt=2007&hl=en,22,2025-04-10 10:45:08,,,,,,,,,57,28.5,10,6,2,"… new opportunities for Automated Software Engineering (ASE)… the effectiveness of state-of-the-art LLM, ie, GPT-4, with three … -known and widely used benchmark datasets in the literature …",https://arxiv.org/pdf/2310.10508,https://scholar.google.com/scholar?q=related:2TylLExyV3MJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
23,13,"Z Li, D Shin",Mutation-based consistency testing for evaluating the code understanding capability of llms,2024,… Conference on AI Engineering-Software Engineering …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3644815.3644946,https://scholar.google.com/scholar?cites=3886644974128050628&as_sdt=2005&sciodt=2007&hl=en,26,2025-04-10 10:45:08,,10.1145/3644815.3644946,,,,,,,13,13.0,7,2,1,"… , LLM-based Software Engineering (SE) [9, 13] has emerged to address various software engineering … in the early stage of LLM testing are code generation benchmarks, such as …",https://arxiv.org/pdf/2401.05940,https://scholar.google.com/scholar?q=related:xLH1-gIj8DUJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
24,24,"NDQ Bui, H Le, Y Wang, J Li, AD Gotmare…",Codetf: One-stop transformer library for state-of-the-art code llm,2023,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2306.00029,https://scholar.google.com/scholar?cites=17702560213560460465&as_sdt=2005&sciodt=2007&hl=en,27,2025-04-10 10:45:08,,,,,,,,,24,12.0,4,6,2,"… of pretrained Code LLM models and popular code benchmarks, … benchmarks emerging. To accommodate future advancements, we design CodeTF following software engineering …",https://arxiv.org/pdf/2306.00029,https://scholar.google.com/scholar?q=related:sQQ82LggrPUJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
25,79,"X Du, M Liu, K Wang, H Wang, J Liu, Y Chen…",Evaluating large language models in class-level code generation,2024,… Software Engineering,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3597503.3639219,https://scholar.google.com/scholar?cites=2562360353200834644&as_sdt=2005&sciodt=2007&hl=en,28,2025-04-10 10:45:08,,10.1145/3597503.3639219,,,,,,,79,79.0,11,7,1,"… on code generation benchmarks in Section 2, we mainly introduce related work on LLMs for software engineering and LLM evaluation in this section. LLMs for Software Engineering. In …",https://labsoft-ufmg.github.io/seminars/2024b/icse2024du.pdf,https://scholar.google.com/scholar?q=related:VIgUTypVjyMJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
26,0,"W Li, X Zhang, Z Guo, S Mao, W Luo, G Peng…",FEA-Bench: A Benchmark for Evaluating Repository-Level Code Generation for Feature Implementation,2025,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2503.06680,,29,2025-04-10 10:45:08,,,,,,,,,0,0.0,0,7,1,"… proposed benchmark. According to our execution-based metrics, the best-performing LLM, … toward addressing more intricate software engineering challenges, thereby advancing the …",https://arxiv.org/pdf/2503.06680,https://scholar.google.com/scholar?q=related:fRpAJB4pZHcJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
27,117,"Y Zhang, H Ruan, Z Fan, A Roychoudhury",Autocoderover: Autonomous program improvement,2024,Proceedings of the 33rd …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3650212.3680384,https://scholar.google.com/scholar?cites=14604294483259591053&as_sdt=2005&sciodt=2007&hl=en,30,2025-04-10 10:45:08,,10.1145/3650212.3680384,,,,,,,117,117.0,29,4,1,"… LLM agent approaches from AI researchers and practitioners, our outlook is more software engineering … We evaluate AutoCodeRover in recently proposed benchmarks SWE-bench and …",https://dl.acm.org/doi/pdf/10.1145/3650212.3680384,https://scholar.google.com/scholar?q=related:jYnipXTgrMoJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
28,45,"L Zhong, Z Wang",Can llm replace stack overflow? a study on robustness and reliability of large language model code generation,2024,Proceedings of the AAAI Conference on Artificial …,ojs.aaai.org,https://ojs.aaai.org/index.php/AAAI/article/view/30185,https://scholar.google.com/scholar?cites=852797054713196465&as_sdt=2005&sciodt=2007&hl=en,31,2025-04-10 10:45:08,,,,,,,,,45,45.0,23,2,1,"… , a comprehensive benchmark to thoroughly evaluate the reliability and robustness of LLM-… Lost at c: A user study on the security implications of large language model code assistants. …",https://ojs.aaai.org/index.php/AAAI/article/view/30185/32103,https://scholar.google.com/scholar?q=related:se-tJ2e-1QsJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
29,21,"A Agarwal, A Chan, S Chandel, J Jang, S Miller…",Copilot evaluation harness: Evaluating llm-guided software programming,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2402.14261,https://scholar.google.com/scholar?cites=17245340031896277697&as_sdt=2005&sciodt=2007&hl=en,32,2025-04-10 10:45:08,,,,,,,,,21,21.0,4,6,1,"… to benchmark LLM’s performance in software engineering tasks. As LLMs become more ubiquitous and powerful, many researches use LLM models themselves to evaluate LLM output […",https://arxiv.org/pdf/2402.14261,https://scholar.google.com/scholar?q=related:wVIAqGPBU-8J:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
30,21,"G Uddin, YG Guéhénuc, F Khomh, CK Roy",An empirical study of the effectiveness of an ensemble of stand-alone sentiment detection tools for software engineering datasets,2022,… on Software Engineering …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3491211,https://scholar.google.com/scholar?cites=2561293960362987464&as_sdt=2005&sciodt=2007&hl=en,34,2025-04-10 10:45:08,,10.1145/3491211,,,,,,,21,7.0,5,4,3,… six benchmarks available from software-engineering research. Each unit in a benchmark is … -based pre-trained transformer models (PTMs) can be trained using SE-specific data to offer …,https://arxiv.org/pdf/2111.03196,https://scholar.google.com/scholar?q=related:yA_KYEmLiyMJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
31,37,"S Fakhoury, A Naik, G Sakkas…",Llm-based test-driven interactive code generation: User study and empirical evaluation,2024,… Engineering,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10606356/,https://scholar.google.com/scholar?cites=3920094816206839874&as_sdt=2005&sciodt=2007&hl=en,35,2025-04-10 10:45:08,,,,,,,,,37,37.0,9,4,1,"… Therefore, in order to evaluate TICODER offline with large-scale benchmark datasets, we … upper bound on the improvement that TiCoder can have on the benchmarks with real users. …",https://arxiv.org/pdf/2404.10100,https://scholar.google.com/scholar?q=related:QuDbPXf5ZjYJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
32,32,"T Coignion, C Quinton, R Rouvoy",A performance study of llm-generated code on leetcode,2024,… Assessment in Software Engineering,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3661167.3661221,https://scholar.google.com/scholar?cites=17067347383554722884&as_sdt=2005&sciodt=2007&hl=en,36,2025-04-10 10:45:08,,10.1145/3661167.3661221,,,,,,,32,32.0,11,3,1,"… The cluster we used to run the benchmark was the chiclet cluster of the Grid5000 testbed.It hosts 2 AMD EPYC 7301, with 16 cores per CPU and 128GB of memory. When using the …",https://arxiv.org/pdf/2407.21579,https://scholar.google.com/scholar?q=related:RMz4xgRm2-wJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
33,5,"R Qiu, WW Zeng, J Ezick, C Lott, H Tong",How efficient is llm-generated code? a rigorous &high-standard benchmark,2024,arXiv preprint arXiv:2406.06647,arxiv.org,https://arxiv.org/abs/2406.06647,https://scholar.google.com/scholar?cites=6956319356228318216&as_sdt=2005&sciodt=2007&hl=en,37,2025-04-10 10:45:08,,,,,,,,,5,5.0,1,5,1,… calls for a thorough evaluation of LLM-generated code. Most … and high-standard benchmark for evaluating the capability of … 30 popular LLMs using our benchmark ENAMEL shows that …,https://arxiv.org/pdf/2406.06647,https://scholar.google.com/scholar?q=related:CLQpLJnPiWAJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
35,25,"H Cai, X Cai, J Chang, S Li, L Yao, C Wang…",Sciassess: Benchmarking llm proficiency in scientific literature analysis,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2403.01976,https://scholar.google.com/scholar?cites=2085669479333114516&as_sdt=2005&sciodt=2007&hl=en,39,2025-04-10 10:45:08,,,,,,,,,25,25.0,4,7,1,"… In response to this gap, we introduce SciAssess, a benchmark … the ongoing development of LLM applications in scientific … Therefore, we focus on examining the LLM’s semantic …",https://arxiv.org/pdf/2403.01976,https://scholar.google.com/scholar?q=related:lDKGUlfJ8RwJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
36,16,"T Ahmed, C Bird, P Devanbu, S Chakraborty",Studying llm performance on closed-and open-source data,2024,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2402.15100,https://scholar.google.com/scholar?cites=2904837949989510757&as_sdt=2005&sciodt=2007&hl=en,40,2025-04-10 10:45:08,,,,,,,,,16,16.0,4,4,1,"… In line with the CodeXGLUE benchmark, we utilize two metrics to … To accomplish this, we study two recent LLM-based … ] which have been applied to Software Engineering tasks. These …",https://arxiv.org/pdf/2402.15100,https://scholar.google.com/scholar?q=related:Zd4ym7kOUCgJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
37,100,"T Ahmed, KS Pai, P Devanbu, E Barr",Automatic semantic augmentation of language model prompts (for code summarization),2024,… on software engineering,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3597503.3639183,https://scholar.google.com/scholar?cites=14057282569069626432&as_sdt=2005&sciodt=2007&hl=en,41,2025-04-10 10:45:08,,10.1145/3597503.3639183,,,,,,,100,100.0,25,4,1,"… an LLM with the syntactic and semantic facts a developer considers when manually performing a task will improve LLM … It is part of the CodeXGLUE [47] benchmark, which comprises 14 …",https://dl.acm.org/doi/pdf/10.1145/3597503.3639183,https://scholar.google.com/scholar?q=related:QISvlASAFcMJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
38,114,"R Pan, AR Ibrahimzada, R Krishna, D Sankar…",Lost in translation: A study of bugs introduced by large language models while translating code,2024,… Software Engineering,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3597503.3639226,https://scholar.google.com/scholar?cites=17506349151462438441&as_sdt=2005&sciodt=2007&hl=en,42,2025-04-10 10:45:08,,10.1145/3597503.3639226,,,,,,,114,114.0,23,5,1,… The prerequisite for advancing the state of LLM-based code … code samples from three benchmarks and two real-world … compare LLMbased code translation with traditional non-LLM…,https://dl.acm.org/doi/pdf/10.1145/3597503.3639226,https://scholar.google.com/scholar?q=related:KTbh9swL8_IJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
39,24,"M Krishna, B Gaur, A Verma…",Using LLMs in software requirements specifications: an empirical evaluation,2024,2024 IEEE 32nd …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10628461/,https://scholar.google.com/scholar?cites=8267570008541856231&as_sdt=2005&sciodt=2007&hl=en,43,2025-04-10 10:45:08,,,,,,,,,24,24.0,6,4,1,… grade LLM-generated documents and the human benchmark … We established a benchmark with a human-generated SRS … created and reviewed by software engineering experts. The …,https://arxiv.org/pdf/2404.17842,https://scholar.google.com/scholar?q=related:54HPih5PvHIJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
40,10,"Y Wei, O Duchenne, J Copet, Q Carbonneaux…",Swe-rl: Advancing llm reasoning via reinforcement learning on open software evolution,2025,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2502.18449,https://scholar.google.com/scholar?cites=1711375529222221971&as_sdt=2005&sciodt=2007&hl=en,44,2025-04-10 10:45:08,,,,,,,,,10,10.0,2,5,1,"… LLM reasoning for real-world software engineering. Leveraging a lightweight rule-based reward (eg, the similarity score between ground-truth and LLM-… on benchmarks such as SWE-…",https://arxiv.org/pdf/2502.18449,https://scholar.google.com/scholar?q=related:kzCWAPoGwBcJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
41,266,"D Gao, H Wang, Y Li, X Sun, Y Qian, B Ding…",Text-to-sql empowered by large language models: A benchmark evaluation,2023,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2308.15363,https://scholar.google.com/scholar?cites=15866765098996365221&as_sdt=2005&sciodt=2007&hl=en,45,2025-04-10 10:45:08,,,,,,,,,266,133.0,38,7,2,"… and fair benchmark for LLM-based Text-to-SQL. Specifically, our benchmark discusses both the … at the end, the selected examples have the corresponding SQL queries after “SELECT”. …",https://arxiv.org/pdf/2308.15363,https://scholar.google.com/scholar?q=related:pXc-tMoSMtwJ:scholar.google.com/&scioq=%22llm%22%7C%22large+language+model%22%7C%22bert*%22%7C%22transformer%22+benchmark*%7Ceval*%7Cdataset%7Cmetric+%22software+engineering%22%7C%22se%22%7C%22llm4se%22&hl=en&as_sdt=2007&as_ylo=2022
